Project  Name,Floor,product_id,Status ,Bedrooms,Bathrooms,View Orientation,Size per m sqaured,Initial Price (posted) in UF Chileno,Initial Price per m squared,Sold Price in UF Chileno,Sold Price per m squared,Region,Date
COSTANERA HUAYQUIQUE ETAPA II,17,1702,Available,3,2,W,91,6011,66.05,6011,66.05,Norte,10/21/2022 13:21
COSTANERA HUAYQUIQUE ETAPA II,17,1703,Available,3,2,W,91,5804,63.78,5804,63.78,Norte,10/2/2022 2:05
COSTANERA HUAYQUIQUE ETAPA II,17,1704,Available,4,3,SESW,115,7500,65.22,7500,65.22,Norte,10/31/2022 13:14
COSTANERA HUAYQUIQUE ETAPA II,17,1705,Sold,1,1,E,42,2452,58.38,2452,58.38,Norte,8/21/2020
COSTANERA HUAYQUIQUE I,17,1701,Sold,3,2,NW,98,4671,47.66,4671,47.66,Norte,1/29/2019
COSTANERA HUAYQUIQUE I,17,1702,Sold,2,2,W,80,3378,42.23,3378,42.23,Norte,1/29/2019
COSTANERA HUAYQUIQUE I,17,1703,Sold,2,2,W,80,3141,39.26,3141,39.26,Norte,1/29/2019
COSTANERA HUAYQUIQUE I,17,1704,Sold,3,2,SW,98,4757,48.54,4757,48.54,Norte,4/2/2020
EDIFICIO DE LA RECOLETA URBANO,17,1701,Sold,1,1,W,35,1367,39.06,1367,39.06,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,17,1702,Sold,1,1,W,35,1355,38.71,1355,38.71,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,17,1703,Sold,2,2,NW,65,2540,39.08,2540,39.08,Santiago,3/19/2019
EDIFICIO DE LA RECOLETA URBANO,17,1704,Sold,2,2,NE,64,2662,41.59,2662,41.59,Santiago,3/19/2019
EDIFICIO DE LA RECOLETA URBANO,17,1705,Sold,1,1,E,24,884,36.83,884,36.83,Santiago,3/19/2019
EDIFICIO DE LA RECOLETA URBANO,17,1706,Sold,1,1,E,35,1613,46.09,1613,46.09,Santiago,3/19/2019
EDIFICIO DE LA RECOLETA URBANO,17,1707,Sold,1,1,E,35,1476,42.17,1476,42.17,Santiago,3/19/2019
EDIFICIO DE LA RECOLETA URBANO,17,1708,Sold,1,1,E,35,1438,41.09,1438,41.09,Santiago,3/19/2019
EDIFICIO DE LA RECOLETA URBANO,17,1709,Sold,1,1,E,35,1550,44.29,1550,44.29,Santiago,3/19/2019
EDIFICIO DE LA RECOLETA URBANO,17,1710,Sold,2,2,SE,59,2608,44.2,2608,44.2,Santiago,3/19/2019
EDIFICIO DE LA RECOLETA URBANO,17,1711,Sold,2,2,S,60,3255,54.25,3255,54.25,Santiago,10/2/2019
EDIFICIO DE LA RECOLETA URBANO,17,1712,Sold,2,2,S,57,2420,42.46,2420,42.46,Santiago,3/19/2019
EDIFICIO DE LA RECOLETA URBANO,17,1713,Sold,2,2,S,59,2610,44.24,2610,44.24,Santiago,3/19/2019
EDIFICIO DE LA RECOLETA URBANO,17,1714,Sold,2,2,N,59,2610,44.24,2610,44.24,Santiago,3/19/2019
EDIFICIO DE LA RECOLETA URBANO,17,1715,Sold,2,2,N,57,2610,45.79,2610,45.79,Santiago,1/28/2019
EDIFICIO PARQUE HIPODROMO,17,1701,Sold,2,2,NE,61,3549,58.18,3549,58.18,Santiago,12/1/2021
EDIFICIO PARQUE HIPODROMO,17,1702,Sold,1,1,E,37,2411,65.16,2411,65.16,Santiago,8/27/2020
EDIFICIO PARQUE HIPODROMO,17,1703,Sold,1,1,E,37,2640,71.35,2640,71.35,Santiago,6/7/2021
EDIFICIO PARQUE HIPODROMO,17,1704,Sold,2,2,SE,61,3443,56.44,3443,56.44,Santiago,12/1/2021
