Project  Name,Floor,product_id,Status ,Bedrooms,Bathrooms,View Orientation,Size per m sqaured,Initial Price (posted) in UF Chileno,Initial Price per m squared,Sold Price in UF Chileno,Sold Price per m squared,Region,Date
EDIFICIO DE LA RECOLETA URBANO,16,1611,Sold,2,2,S,60,2715,45.25,2715,45.25,Santiago,7/17/2019
EDIFICIO DE LA RECOLETA URBANO,16,1612,Sold,2,2,S,57,2755,48.33,2755,48.33,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,16,1613,Sold,2,2,S,59,2614,44.31,2614,44.31,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,16,1614,Sold,2,2,N,59,3102,52.58,3102,52.58,Santiago,3/2/2020
EDIFICIO DE LA RECOLETA URBANO,16,1615,Sold,2,2,N,57,2610,45.79,2610,45.79,Santiago,3/18/2019
EDIFICIO PARQUE HIPODROMO,16,1601,Sold,2,2,NE,61,3549,58.18,3549,58.18,Santiago,12/1/2021
EDIFICIO PARQUE HIPODROMO,16,1603,Available,1,1,E,37,2706,73.14,2706,73.14,Santiago,11/1/2022 12:20
EDIFICIO PARQUE HIPODROMO,16,1604,Sold,2,2,SE,61,3443,56.44,3443,56.44,Santiago,12/1/2021
EDIFICIO PARQUE HIPODROMO,16,1607,Sold,3,2,SW,70,3689,52.7,3689,52.7,Santiago,12/23/2020
EDIFICIO PARQUE HIPODROMO,16,1608,Sold,2,2,W,58,3418,58.93,3418,58.93,Santiago,3/20/2020
EDIFICIO SAN IGNACIO,16,1601,Sold,3,2,NE,68,3836,56.41,3836,56.41,Santiago,9/11/2019
EDIFICIO SAN IGNACIO,16,1602,Sold,2,1,N,49,2794,57.02,2794,57.02,Santiago,5/22/2019
EDIFICIO SAN IGNACIO,16,1603,Sold,2,2,N,56,3480,62.14,3480,62.14,Santiago,8/23/2019
EDIFICIO SAN IGNACIO,16,1604,Sold,3,2,NW,68,3772,55.47,3772,55.47,Santiago,12/6/2019
EDIFICIO SAN IGNACIO,16,1605,Sold,3,2,SW,68,3880,57.06,3880,57.06,Santiago,11/16/2021
EDIFICIO SAN IGNACIO,16,1606,Sold,2,2,S,55,3628,65.96,3628,65.96,Santiago,4/16/2021
EDIFICIO SAN IGNACIO,16,1607,Sold,2,1,S,47,2525,53.72,2525,53.72,Santiago,5/8/2020
EDIFICIO SAN IGNACIO,16,1608,Sold,3,2,SE,68,3880,57.06,3880,57.06,Santiago,5/4/2020
GRAN PACIFICO IV,16,1601,Available,2,2,NW,60,3935,65.58,,,Santiago,
GRAN PACIFICO IV,16,1602,Available,1,1,W,44,3370,76.59,3370,76.59,Santiago,9/22/2021 14:46
GRAN PACIFICO IV,16,1603,Available,2,2,SW,60,3772,62.87,,,Santiago,
GRAN PACIFICO IV,16,1604,Available,4,3,SE,97,6000,61.86,6000,61.86,Santiago,3/4/2020 14:21
GRAN PACIFICO IV,16,1605,Available,4,3,NE,97,6163,63.54,6163,63.54,Santiago,3/4/2020 14:23
MIRADOR DE LA RECOLETA,16,1601,Sold,3,2,NW,78,3570,45.77,3570,45.77,Santiago,1/11/2019
MIRADOR DE LA RECOLETA,16,1602,Sold,2,2,N,60,2703,45.05,2703,45.05,Santiago,1/11/2019
MIRADOR DE LA RECOLETA,16,1603,Sold,1,1,N,40,2200,55,2200,55,Santiago,1/11/2019
MIRADOR DE LA RECOLETA,16,1604,Sold,2,2,N,60,2925,48.75,2925,48.75,Santiago,1/11/2019
MIRADOR DE LA RECOLETA,16,1605,Sold,3,2,NE,78,3839,49.22,3839,49.22,Santiago,4/30/2019
MIRADOR DE LA RECOLETA,16,1606,Sold,3,2,SE,78,3839,49.22,3839,49.22,Santiago,4/30/2019
MIRADOR DE LA RECOLETA,16,1607,Sold,2,2,S,49,1906,38.9,1906,38.9,Santiago,1/11/2019
MIRADOR DE LA RECOLETA,16,1608,Sold,2,2,S,59,2700,45.76,2700,45.76,Santiago,1/11/2019
MIRADOR DE LA RECOLETA,16,1609,Sold,3,2,SW,78,3528,45.23,3528,45.23,Santiago,1/11/2019
VISTA PACIFICO,16,1601,Available,4,4,N,133,10503,78.97,,,Norte,
VISTA PACIFICO,16,1602,Available,4,3,NW,147,11942,81.24,11942,81.24,Norte,3/16/2022 15:32
VISTA PACIFICO,16,1603,Available,4,3,SW,147,11200,76.19,,,Norte,
VISTA PACIFICO,16,1604,Available,4,4,S,133,9970,74.96,,,Norte,
VISTA PACIFICO,16,1605,Available,4,4,SE,146,10783,73.86,,,Norte,
VISTA PACIFICO,16,1606,Available,4,4,NE,146,11366,77.85,11366,77.85,Norte,2/13/2022 18:33
ARQ. SAN MIGUEL,15,1501,Sold,3,2,NW,87,3200,36.78,3200,36.78,Santiago,2/22/2019
ARQ. SAN MIGUEL,15,1502,Sold,3,2,NE,87,3637,41.8,3637,41.8,Santiago,2/22/2019
ARQ. SAN MIGUEL,15,1503,Sold,2,2,E,73,2808,38.47,2808,38.47,Santiago,2/22/2019
ARQ. SAN MIGUEL,15,1504,Sold,3,2,SE,87,3052,35.08,3052,35.08,Santiago,2/22/2019
ARQ. SAN MIGUEL,15,1505,Sold,3,2,SW,87,2975,34.2,2975,34.2,Santiago,2/22/2019
ARQ. SAN MIGUEL,15,1506,Sold,2,2,W,73,2500,34.25,2500,34.25,Santiago,2/22/2019
CONDOMINIO GRAN PACIFICIO TORRE 4,15,1501,Available,4,3,SE,99,6652,67.19,,,Santiago,
CONDOMINIO GRAN PACIFICIO TORRE 4,15,1502,Available,2,2,SW,60,4402,73.37,4402,73.37,Santiago,9/13/2022 15:39
CONDOMINIO GRAN PACIFICIO TORRE 4,15,1503,Available,4,3,NW,105,7478,71.22,7478,71.22,Santiago,10/27/2022 11:22
CONDOMINIO GRAN PACIFICIO TORRE 4,15,1504,Available,4,3,NE,99,6652,67.19,6652,67.19,Santiago,10/27/2022 11:19
CONDOMINIO GRAN PACÍFICO TORRE 2,15,1501,Sold,3,2,SW,92,3720,40.43,3720,40.43,Norte,1/17/2019
CONDOMINIO GRAN PACÍFICO TORRE 2,15,1502,Sold,3,2,NW,92,5000,54.35,5000,54.35,Norte,1/17/2019
CONDOMINIO GRAN PACÍFICO TORRE 2,15,1503,Sold,3,2,NE,90,4090,45.44,4090,45.44,Norte,6/26/2019
CONDOMINIO GRAN PACÍFICO TORRE 2,15,1504,Sold,3,2,SE,90,4140,46,4140,46,Norte,2/10/2020
CONDOMINIO GRAN PACÍFICO TORRE 3,15,1501,Sold,3,2,SW,88,5429,61.69,5429,61.69,Norte,11/23/2021
CONDOMINIO GRAN PACÍFICO TORRE 3,15,1502,Available,3,2,NW,88,5860,66.59,5860,66.59,Norte,10/29/2022 10:40
CONDOMINIO GRAN PACÍFICO TORRE 3,15,1503,Available,3,2,NE,87,5809,66.77,5809,66.77,Norte,5/23/2022 11:03
CONDOMINIO GRAN PACÍFICO TORRE 3,15,1504,Available,3,2,SE,87,5788,66.53,5788,66.53,Norte,5/23/2022 11:03
COSTANERA HUAYQUIQUE ETAPA II,15,1501,Available,3,2,NENW,99,6282,63.45,6282,63.45,Norte,10/25/2022 18:03
COSTANERA HUAYQUIQUE ETAPA II,15,1502,Available,3,2,W,91,5833,64.1,5833,64.1,Norte,10/25/2022 18:04
COSTANERA HUAYQUIQUE ETAPA II,15,1503,Available,3,2,W,91,5877,64.58,5877,64.58,Norte,10/2/2022 2:06
COSTANERA HUAYQUIQUE ETAPA II,15,1504,Sold,4,3,SESW,115,6037,52.5,6037,52.5,Norte,11/23/2021
COSTANERA HUAYQUIQUE ETAPA II,15,1505,Available,1,1,E,43,3000,69.77,3000,69.77,Norte,10/30/2022 12:10
COSTANERA HUAYQUIQUE I,15,1501,Sold,3,2,NW,98,4900,50,4900,50,Norte,1/29/2019
COSTANERA HUAYQUIQUE I,15,1502,Sold,2,2,W,80,3111,38.89,3111,38.89,Norte,1/29/2019
COSTANERA HUAYQUIQUE I,15,1503,Sold,2,2,W,80,3200,40,3200,40,Norte,1/29/2019
COSTANERA HUAYQUIQUE I,15,1504,Sold,3,2,SW,98,4757,48.54,4757,48.54,Norte,5/17/2021
EDIFICIO DE LA RECOLETA URBANO,15,1501,Sold,1,1,W,35,1349,38.54,1349,38.54,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,15,1502,Sold,1,1,W,35,1367,39.06,1367,39.06,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,15,1503,Sold,2,2,NW,65,2350,36.15,2350,36.15,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,15,1504,Sold,2,2,NE,64,2850,44.53,2850,44.53,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,15,1505,Sold,1,1,E,24,1030,42.92,1030,42.92,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,15,1506,Sold,1,1,E,35,1379,39.4,1379,39.4,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,15,1507,Sold,1,1,E,35,1432,40.91,1432,40.91,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,15,1508,Sold,1,1,E,35,1700,48.57,1700,48.57,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,15,1509,Sold,1,1,E,35,1437,41.06,1437,41.06,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,15,1510,Sold,2,2,SE,59,2500,42.37,2500,42.37,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,15,1511,Sold,2,2,S,60,2339,38.98,2339,38.98,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,15,1512,Sold,2,2,S,57,2296,40.28,2296,40.28,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,15,1513,Sold,2,2,S,59,2702,45.8,2702,45.8,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,15,1514,Sold,2,2,N,59,2610,44.24,2610,44.24,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,15,1515,Sold,2,2,N,57,2550,44.74,2550,44.74,Santiago,6/11/2019
EDIFICIO PARQUE HIPODROMO,15,1501,Sold,2,2,NE,61,3507,57.49,3507,57.49,Santiago,8/10/2021
EDIFICIO PARQUE HIPODROMO,15,1504,Sold,2,2,SE,61,3401,55.75,3401,55.75,Santiago,12/1/2021
EDIFICIO PARQUE HIPODROMO,15,1507,Available,3,2,SW,70,4521,64.59,4521,64.59,Santiago,10/22/2022 17:53
EDIFICIO SAN IGNACIO,15,1501,Sold,3,2,NW,68,4033,59.31,4033,59.31,Santiago,11/29/2019
EDIFICIO SAN IGNACIO,15,1502,Sold,2,1,N,49,2920,59.59,2920,59.59,Santiago,7/25/2019
EDIFICIO SAN IGNACIO,15,1503,Sold,2,2,N,56,3590,64.11,3590,64.11,Santiago,2/4/2021
EDIFICIO SAN IGNACIO,15,1504,Sold,3,2,NE,68,3772,55.47,3772,55.47,Santiago,11/20/2019
EDIFICIO SAN IGNACIO,15,1505,Available,3,2,SW,68,4100,60.29,4100,60.29,Santiago,10/30/2022 22:13
EDIFICIO SAN IGNACIO,15,1506,Sold,2,2,S,55,3550,64.55,3550,64.55,Santiago,9/21/2021
EDIFICIO SAN IGNACIO,15,1507,Sold,2,1,S,47,2550,54.26,2550,54.26,Santiago,1/4/2019
EDIFICIO SAN IGNACIO,15,1508,Sold,3,2,SE,68,3800,55.88,3800,55.88,Santiago,2/4/2021
GRAN PACIFICO IV,15,1501,Available,2,2,NW,60,3957,65.95,3957,65.95,Santiago,2/21/2020 20:07
GRAN PACIFICO IV,15,1502,Available,1,1,W,44,3391,77.07,3391,77.07,Santiago,9/22/2021 14:46
GRAN PACIFICO IV,15,1503,Available,2,2,SW,60,3793,63.22,3793,63.22,Santiago,3/18/2022 18:28
GRAN PACIFICO IV,15,1504,Available,4,3,SE,97,6022,62.08,6022,62.08,Santiago,2/29/2020 10:10
GRAN PACIFICO IV,15,1505,Available,4,3,NE,97,6185,63.76,6185,63.76,Santiago,2/14/2020 10:06
MIRADOR DE LA RECOLETA,15,1501,Sold,3,2,NW,78,3030,38.85,3030,38.85,Santiago,1/10/2019
MIRADOR DE LA RECOLETA,15,1502,Sold,2,2,N,60,2466,41.1,2466,41.1,Santiago,1/10/2019
MIRADOR DE LA RECOLETA,15,1503,Sold,1,1,N,40,2218,55.45,2218,55.45,Santiago,1/10/2019
MIRADOR DE LA RECOLETA,15,1504,Sold,2,2,N,60,2948,49.13,2948,49.13,Santiago,1/10/2019
MIRADOR DE LA RECOLETA,15,1505,Sold,3,2,NE,78,4007,51.37,4007,51.37,Santiago,1/16/2019
MIRADOR DE LA RECOLETA,15,1506,Sold,3,2,SE,78,2925,37.5,2925,37.5,Santiago,1/10/2019
MIRADOR DE LA RECOLETA,15,1507,Sold,2,2,S,49,1883,38.43,1883,38.43,Santiago,1/10/2019
MIRADOR DE LA RECOLETA,15,1508,Sold,2,2,S,59,2712,45.97,2712,45.97,Santiago,1/10/2019
MIRADOR DE LA RECOLETA,15,1509,Sold,3,2,SW,78,3556,45.59,3556,45.59,Santiago,1/11/2019
VISTA PACIFICO,15,1501,Available,4,4,N,133,10681,80.31,10681,80.31,Norte,1/3/2022 18:06
VISTA PACIFICO,15,1502,Available,4,3,NW,147,12013,81.72,12013,81.72,Norte,2/21/2022 18:15
VISTA PACIFICO,15,1503,Available,4,3,SW,147,11259,76.59,11259,76.59,Norte,2/17/2022 17:15
VISTA PACIFICO,15,1504,Available,4,4,S,133,10138,76.23,10138,76.23,Norte,4/14/2022 13:10
VISTA PACIFICO,15,1505,Available,4,4,SE,146,10842,74.26,10842,74.26,Norte,4/14/2022 17:28
VISTA PACIFICO,15,1506,Available,4,4,NE,146,11543,79.06,11543,79.06,Norte,2/17/2022 17:10
ARQ. SAN MIGUEL,14,1401,Sold,3,2,NW,87,3116,35.82,3116,35.82,Santiago,2/22/2019
ARQ. SAN MIGUEL,14,1402,Sold,3,2,NE,87,3363,38.66,3363,38.66,Santiago,2/22/2019
ARQ. SAN MIGUEL,14,1403,Sold,2,2,E,73,2770,37.95,2770,37.95,Santiago,2/22/2019
ARQ. SAN MIGUEL,14,1404,Sold,3,2,SE,87,3114,35.79,3114,35.79,Santiago,2/22/2019
ARQ. SAN MIGUEL,14,1405,Sold,3,2,SW,87,2798,32.16,2798,32.16,Santiago,2/22/2019
ARQ. SAN MIGUEL,14,1406,Sold,2,2,W,73,2542,34.82,2542,34.82,Santiago,2/22/2019
CONDOMINIO GRAN PACIFICIO TORRE 4,14,1401,Available,4,3,SE,99,6630,66.97,,,Santiago,
CONDOMINIO GRAN PACIFICIO TORRE 4,14,1402,Available,2,2,SW,60,4380,73,,,Santiago,
CONDOMINIO GRAN PACIFICIO TORRE 4,14,1403,Available,4,3,NW,105,7457,71.02,,,Santiago,
CONDOMINIO GRAN PACIFICIO TORRE 4,14,1404,Available,4,3,NE,99,6630,66.97,,,Santiago,
CONDOMINIO GRAN PACÍFICO TORRE 2,14,1401,Sold,3,2,SW,92,4300,46.74,4300,46.74,Norte,5/31/2019
CONDOMINIO GRAN PACÍFICO TORRE 2,14,1402,Sold,3,2,NW,92,4300,46.74,4300,46.74,Norte,8/14/2019
CONDOMINIO GRAN PACÍFICO TORRE 2,14,1403,Sold,3,2,NE,90,3990,44.33,3990,44.33,Norte,1/3/2019
CONDOMINIO GRAN PACÍFICO TORRE 2,14,1404,Available,3,2,SE,90,4934,54.82,4934,54.82,Norte,7/5/2022 20:38
CONDOMINIO GRAN PACÍFICO TORRE 3,14,1401,Available,3,2,SW,88,5852,66.5,5852,66.5,Norte,10/12/2022 12:56
CONDOMINIO GRAN PACÍFICO TORRE 3,14,1402,Sold,3,2,NW,88,5226,59.39,5226,59.39,Norte,9/30/2021
CONDOMINIO GRAN PACÍFICO TORRE 3,14,1403,Sold,3,2,NE,87,5584,64.18,5584,64.18,Norte,12/6/2021
CONDOMINIO GRAN PACÍFICO TORRE 3,14,1404,Available,3,2,SE,87,5766,66.28,5766,66.28,Norte,9/16/2022 17:06
COSTANERA HUAYQUIQUE ETAPA II,14,1401,Available,3,2,NENW,99,6545,66.11,6545,66.11,Norte,10/2/2022 2:06
COSTANERA HUAYQUIQUE ETAPA II,14,1402,Available,3,2,W,91,6070,66.7,6070,66.7,Norte,10/2/2022 2:06
COSTANERA HUAYQUIQUE ETAPA II,14,1403,Available,3,2,W,91,5914,64.99,5914,64.99,Norte,10/2/2022 2:06
COSTANERA HUAYQUIQUE ETAPA II,14,1404,Available,4,3,SESW,115,7663,66.63,7663,66.63,Norte,10/30/2022 10:19
COSTANERA HUAYQUIQUE ETAPA II,14,1405,Available,1,1,E,43,2981,69.33,2981,69.33,Norte,9/11/2022 12:03
COSTANERA HUAYQUIQUE I,14,1401,Sold,3,2,NW,98,4700,47.96,4700,47.96,Norte,1/29/2019
COSTANERA HUAYQUIQUE I,14,1402,Sold,2,2,W,80,3141,39.26,3141,39.26,Norte,1/29/2019
COSTANERA HUAYQUIQUE I,14,1403,Sold,2,2,W,80,3920,49,3920,49,Norte,1/29/2019
COSTANERA HUAYQUIQUE I,14,1404,Sold,3,2,SW,98,4453,45.44,4453,45.44,Norte,1/29/2019
EDIFICIO DE LA RECOLETA URBANO,14,1401,Sold,1,1,W,35,1331,38.03,1331,38.03,Santiago,3/14/2019
EDIFICIO DE LA RECOLETA URBANO,14,1402,Sold,1,1,W,35,1358,38.8,1358,38.8,Santiago,3/14/2019
EDIFICIO DE LA RECOLETA URBANO,14,1403,Sold,2,2,NW,65,2540,39.08,2540,39.08,Santiago,3/15/2019
EDIFICIO DE LA RECOLETA URBANO,14,1404,Sold,2,2,NE,64,2808,43.88,2808,43.88,Santiago,9/30/2019
EDIFICIO DE LA RECOLETA URBANO,14,1405,Sold,1,1,E,24,1200,50,1200,50,Santiago,3/15/2019
EDIFICIO DE LA RECOLETA URBANO,14,1406,Sold,1,1,E,35,1410,40.29,1410,40.29,Santiago,3/15/2019
EDIFICIO DE LA RECOLETA URBANO,14,1407,Sold,1,1,E,35,1410,40.29,1410,40.29,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,14,1408,Sold,1,1,E,35,1751,50.03,1751,50.03,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,14,1409,Sold,1,1,E,35,1750,50,1750,50,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,14,1410,Sold,2,2,SE,59,2350,39.83,2350,39.83,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,14,1411,Sold,2,2,S,60,2345,39.08,2345,39.08,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,14,1412,Sold,2,2,S,57,2229,39.11,2229,39.11,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,14,1413,Sold,2,2,S,59,2490,42.2,2490,42.2,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,14,1414,Sold,2,2,N,59,2610,44.24,2610,44.24,Santiago,3/18/2019
EDIFICIO DE LA RECOLETA URBANO,14,1415,Sold,2,2,N,57,2610,45.79,2610,45.79,Santiago,4/22/2019
EDIFICIO PARQUE HIPODROMO,14,1401,Sold,2,2,NE,61,3464,56.79,3464,56.79,Santiago,5/17/2021
EDIFICIO PARQUE HIPODROMO,14,1407,Available,3,2,SW,70,5078,72.54,5078,72.54,Santiago,8/21/2022 12:59
EDIFICIO PARQUE HIPODROMO,14,1408,Sold,2,2,W,58,3448,59.45,3448,59.45,Santiago,7/26/2021
EDIFICIO PARQUE HIPODROMO,14,1409,Sold,3,2,NW,70,3809,54.41,3809,54.41,Santiago,7/27/2020
EDIFICIO SAN IGNACIO,14,1401,Sold,3,2,NE,68,3796,55.82,3796,55.82,Santiago,9/11/2019
EDIFICIO SAN IGNACIO,14,1402,Sold,2,1,N,49,2829,57.73,2829,57.73,Santiago,2/1/2019
EDIFICIO SAN IGNACIO,14,1403,Sold,2,2,N,56,3072,54.86,3072,54.86,Santiago,1/16/2019
EDIFICIO SAN IGNACIO,14,1404,Sold,3,2,NW,68,3650,53.68,3650,53.68,Santiago,12/9/2019
EDIFICIO SAN IGNACIO,14,1405,Sold,3,2,SW,68,3800,55.88,3800,55.88,Santiago,8/10/2021
EDIFICIO SAN IGNACIO,14,1406,Sold,2,2,S,55,3005,54.64,3005,54.64,Santiago,3/6/2019
EDIFICIO SAN IGNACIO,14,1407,Sold,2,1,S,47,2550,54.26,2550,54.26,Santiago,1/28/2019
EDIFICIO SAN IGNACIO,14,1408,Sold,3,2,SE,68,3680,54.12,3680,54.12,Santiago,6/18/2020
GRAN PACIFICO IV,14,1401,Available,2,2,NW,60,3978,66.3,3978,66.3,Santiago,5/19/2022 9:45
GRAN PACIFICO IV,14,1402,Available,1,1,W,44,3413,77.57,3413,77.57,Santiago,9/22/2021 14:46
GRAN PACIFICO IV,14,1403,Available,2,2,SW,60,3815,63.58,3815,63.58,Santiago,1/29/2020 11:27
GRAN PACIFICO IV,14,1404,Available,4,3,SE,97,6043,62.3,6043,62.3,Santiago,3/18/2022 18:25
GRAN PACIFICO IV,14,1405,Available,4,3,NE,97,6207,63.99,6207,63.99,Santiago,1/29/2020 11:28
MIRADOR DE LA RECOLETA,14,1401,Sold,3,2,NW,78,3598,46.13,3598,46.13,Santiago,1/9/2019
MIRADOR DE LA RECOLETA,14,1402,Sold,2,2,N,60,2429,40.48,2429,40.48,Santiago,1/9/2019
MIRADOR DE LA RECOLETA,14,1403,Sold,1,1,N,40,2052,51.3,2052,51.3,Santiago,1/9/2019
MIRADOR DE LA RECOLETA,14,1404,Sold,2,2,N,60,2948,49.13,2948,49.13,Santiago,1/9/2019
MIRADOR DE LA RECOLETA,14,1405,Sold,3,2,NE,78,3997,51.24,3997,51.24,Santiago,1/9/2019
MIRADOR DE LA RECOLETA,14,1406,Sold,3,2,SE,78,2956,37.9,2956,37.9,Santiago,1/9/2019
MIRADOR DE LA RECOLETA,14,1407,Sold,2,2,S,49,1890,38.57,1890,38.57,Santiago,1/9/2019
MIRADOR DE LA RECOLETA,14,1408,Sold,2,2,S,59,2751,46.63,2751,46.63,Santiago,1/9/2019
MIRADOR DE LA RECOLETA,14,1409,Sold,3,2,SW,78,3791,48.6,3791,48.6,Santiago,1/9/2019
VISTA PACIFICO,14,1401,Available,4,4,N,133,10577,79.53,10577,79.53,Norte,3/16/2022 15:09
VISTA PACIFICO,14,1402,Available,4,3,NW,147,11954,81.32,11954,81.32,Norte,3/24/2022 15:57
VISTA PACIFICO,14,1403,Available,4,3,SW,147,11200,76.19,11200,76.19,Norte,3/19/2022 10:47
VISTA PACIFICO,14,1404,Available,4,4,S,133,10040,75.49,10040,75.49,Norte,1/9/2022 18:23
VISTA PACIFICO,14,1405,Available,4,4,SE,145,10783,74.37,,,Norte,
VISTA PACIFICO,14,1406,Available,4,4,NE,145,11437,78.88,,,Norte,
ARQ. SAN MIGUEL,13,1301,Sold,3,2,NW,87,3009,34.59,3009,34.59,Santiago,2/21/2019
ARQ. SAN MIGUEL,13,1302,Sold,3,2,NE,87,3247,37.32,3247,37.32,Santiago,2/21/2019
ARQ. SAN MIGUEL,13,1303,Sold,2,2,E,73,2707,37.08,2707,37.08,Santiago,2/22/2019
ARQ. SAN MIGUEL,13,1304,Sold,3,2,SE,87,3417,39.28,3417,39.28,Santiago,2/22/2019
ARQ. SAN MIGUEL,13,1305,Sold,3,2,SW,87,2900,33.33,2900,33.33,Santiago,2/22/2019
ARQ. SAN MIGUEL,13,1306,Sold,2,2,W,73,2655,36.37,2655,36.37,Santiago,2/22/2019
CONDOMINIO GRAN PACIFICIO TORRE 4,13,1301,Available,4,3,SE,99,6609,66.76,6609,66.76,Santiago,7/22/2022 16:19
CONDOMINIO GRAN PACIFICIO TORRE 4,13,1302,Available,2,2,SW,60,4359,72.65,,,Santiago,
CONDOMINIO GRAN PACIFICIO TORRE 4,13,1303,Available,4,3,NW,105,7435,70.81,7435,70.81,Santiago,10/23/2022 17:54
CONDOMINIO GRAN PACIFICIO TORRE 4,13,1304,Available,4,3,NE,99,6609,66.76,,,Santiago,
CONDOMINIO GRAN PACÍFICO TORRE 2,13,1301,Sold,3,2,SW,92,5120,55.65,5120,55.65,Norte,1/17/2019
CONDOMINIO GRAN PACÍFICO TORRE 2,13,1302,Sold,3,2,NW,92,5281,57.4,5281,57.4,Norte,1/17/2019
CONDOMINIO GRAN PACÍFICO TORRE 2,13,1303,Available,3,2,NE,90,4934,54.82,4934,54.82,Norte,10/23/2022 17:37
CONDOMINIO GRAN PACÍFICO TORRE 2,13,1304,Sold,3,2,SE,90,4240,47.11,4240,47.11,Norte,1/17/2019
CONDOMINIO GRAN PACÍFICO TORRE 3,13,1301,Available,3,2,SW,88,5830,66.25,5830,66.25,Norte,6/21/2022 13:08
CONDOMINIO GRAN PACÍFICO TORRE 3,13,1302,Sold,3,2,NW,88,5190,58.98,5190,58.98,Norte,5/10/2021
CONDOMINIO GRAN PACÍFICO TORRE 3,13,1303,Available,3,2,NE,87,5744,66.02,5744,66.02,Norte,5/23/2022 11:03
CONDOMINIO GRAN PACÍFICO TORRE 3,13,1304,Available,3,2,SE,87,5744,66.02,5744,66.02,Norte,5/23/2022 11:03
COSTANERA HUAYQUIQUE ETAPA II,13,1301,Available,3,2,NENW,99,6630,66.97,6630,66.97,Norte,10/28/2022 17:14
COSTANERA HUAYQUIQUE ETAPA II,13,1302,Available,3,2,W,91,6141,67.48,6141,67.48,Norte,10/28/2022 17:14
COSTANERA HUAYQUIQUE ETAPA II,13,1303,Available,3,2,W,91,5951,65.4,5951,65.4,Norte,10/2/2022 2:06
COSTANERA HUAYQUIQUE ETAPA II,13,1304,Available,4,3,SESW,115,7717,67.1,7717,67.1,Norte,10/30/2022 10:19
COSTANERA HUAYQUIQUE ETAPA II,13,1305,Available,1,1,E,43,3000,69.77,3000,69.77,Norte,10/26/2022 16:31
COSTANERA HUAYQUIQUE I,13,1301,Sold,3,2,NW,98,4621,47.15,4621,47.15,Norte,1/29/2019
COSTANERA HUAYQUIQUE I,13,1302,Sold,2,2,W,80,3306,41.33,3306,41.33,Norte,1/29/2019
COSTANERA HUAYQUIQUE I,13,1303,Sold,2,2,W,80,3200,40,3200,40,Norte,1/29/2019
COSTANERA HUAYQUIQUE I,13,1304,Sold,3,2,SW,98,3619,36.93,3619,36.93,Norte,1/29/2019
EDIFICIO CURIÑANCA,13,1301,Available,3,2,WSE,72,4526,62.86,4526,62.86,Santiago,4/29/2022 18:06
EDIFICIO CURIÑANCA,13,1302,Sold,2,2,W,50,3142,62.84,3142,62.84,Santiago,11/12/2020
EDIFICIO CURIÑANCA,13,1303,Sold,2,1,W,41,2792,68.1,2792,68.1,Santiago,9/10/2020
EDIFICIO CURIÑANCA,13,1304,Sold,3,2,WNE,72,4401,61.13,4401,61.13,Santiago,11/4/2020
EDIFICIO CURIÑANCA,13,1305,Sold,2,2,E,67,3830,57.16,3830,57.16,Santiago,7/1/2021
EDIFICIO CURIÑANCA,13,1306,Sold,2,2,E,68,3779,55.57,3779,55.57,Santiago,11/20/2019
EDIFICIO CURIÑANCA,13,1307,Reserved,2,2,E,68,3964,58.29,3964,58.29,Santiago,9/5/2022 11:23
EDIFICIO CURIÑANCA,13,1308,Sold,2,2,E,67,3568,53.25,3568,53.25,Santiago,5/19/2020
EDIFICIO DE LA RECOLETA URBANO,13,1301,Sold,1,1,W,35,1290,36.86,1290,36.86,Santiago,3/14/2019
EDIFICIO DE LA RECOLETA URBANO,13,1302,Sold,1,1,W,35,1322,37.77,1322,37.77,Santiago,3/14/2019
EDIFICIO DE LA RECOLETA URBANO,13,1303,Sold,2,2,NW,65,2645,40.69,2645,40.69,Santiago,3/14/2019
